ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
MWI,98913,Age specific fertility rate: 20-24,293,0,MW,Malawi,2004,MW2004DHS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2004,DHS,,,,
MWI,98914,Age specific fertility rate: 25-29,254,0,MW,Malawi,2004,MW2004DHS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2004,DHS,,,,
MWI,98927,Age specific fertility rate: 30-34,222,0,MW,Malawi,2004,MW2004DHS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2004,DHS,,,,
MWI,98928,Age specific fertility rate: 35-39,163,0,MW,Malawi,2004,MW2004DHS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2004,DHS,,,,
MWI,98918,Age specific fertility rate: 40-44,80,0,MW,Malawi,2004,MW2004DHS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2004,DHS,,,,
MWI,98920,Age specific fertility rate: 45-49,35,0,MW,Malawi,2004,MW2004DHS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2004,DHS,,,,
MWI,98919,Total fertility rate 15-49,6,1,MW,Malawi,2004,MW2004DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2004,DHS,,,,
MWI,98921,Total fertility rate 15-44,5.9,1,MW,Malawi,2004,MW2004DHS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2004,DHS,,,,
MWI,98925,General fertility rate,215,0,MW,Malawi,2004,MW2004DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2004,DHS,,,,
MWI,98926,Crude birth rate,42.4,1,MW,Malawi,2004,MW2004DHS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2004,DHS,,,,
MWI,181691,Total wanted fertility rate,4.9,1,MW,Malawi,2004,MW2004DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,2004,DHS,,,,
MWI,99861,Age specific fertility rate: 15-19,152,0,MW,Malawi,2010,MW2010DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2010,DHS,,,,
MWI,99864,Age specific fertility rate: 20-24,269,0,MW,Malawi,2010,MW2010DHS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2010,DHS,,,,
MWI,99865,Age specific fertility rate: 25-29,238,0,MW,Malawi,2010,MW2010DHS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2010,DHS,,,,
MWI,99866,Age specific fertility rate: 30-34,206,0,MW,Malawi,2010,MW2010DHS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2010,DHS,,,,
MWI,99867,Age specific fertility rate: 35-39,162,0,MW,Malawi,2010,MW2010DHS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2010,DHS,,,,
MWI,99862,Age specific fertility rate: 40-44,82,0,MW,Malawi,2010,MW2010DHS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2010,DHS,,,,
MWI,99868,Age specific fertility rate: 45-49,33,0,MW,Malawi,2010,MW2010DHS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2010,DHS,,,,
